CHECKLIST_NAME	CHECKLIST_FIELD_ID	CHECKLIST_FIELD_NAME	CHECKLIST_FIELD_DESCRIPTION
GSC MIxS water	321	host disease status	list of diseases with which the host has been diagnosed; can include multiple diagnoses. The value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology) at http://www.disease-ontology.org, other hosts are free text
HoloFood Checklist	321	host disease status	list of diseases with which the host has been diagnosed; can include multiple diagnoses. The value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology) at http://www.disease-ontology.org, other hosts are free text
GSC MIxS Food and Production	176	host dry mass	measurement of dry mass
GSC MIxS Symbiont	176	host dry mass	measurement of dry mass
GSC MIxS agriculture	176	host dry mass	measurement of dry mass
GSC MIxS host associated	176	host dry mass	measurement of dry mass
GSC MIxS plant associated	176	host dry mass	measurement of dry mass
GSC MIxS Symbiont	417	host family relationship	Familial relationships to other hosts in the same study; can include multiple relationships
GSC MIxS host associated	417	host family relationship	Familial relationships to other hosts in the same study; can include multiple relationships
GSC MIxS human associated	417	host family relationship	Familial relationships to other hosts in the same study; can include multiple relationships
GSC MIxS human gut	417	host family relationship	Familial relationships to other hosts in the same study; can include multiple relationships
GSC MIxS human oral	417	host family relationship	Familial relationships to other hosts in the same study; can include multiple relationships
GSC MIxS human skin	417	host family relationship	Familial relationships to other hosts in the same study; can include multiple relationships
GSC MIxS human vaginal	417	host family relationship	Familial relationships to other hosts in the same study; can include multiple relationships
GSC MIxS Food and Production	177	host genotype	observed genotype
GSC MIxS Symbiont	177	host genotype	observed genotype
GSC MIxS agriculture	177	host genotype	observed genotype
GSC MIxS host associated	177	host genotype	observed genotype
GSC MIxS human associated	177	host genotype	observed genotype
GSC MIxS human gut	177	host genotype	observed genotype
GSC MIxS human oral	177	host genotype	observed genotype
GSC MIxS human skin	177	host genotype	observed genotype
GSC MIxS human vaginal	177	host genotype	observed genotype
GSC MIxS plant associated	177	host genotype	observed genotype
GSC MIxS Symbiont	391	host growth conditions	literature reference giving growth conditions of the host
GSC MIxS host associated	391	host growth conditions	literature reference giving growth conditions of the host
HoloFood Checklist	742	host gutted mass	total mass of the host after gutting, the unit depends on host
ENA Influenza virus reporting standard checklist	154	host habitat	Natural habitat of the avian or mammalian host.
ENA virus pathogen reporting standard checklist	154	host habitat	Natural habitat of the avian or mammalian host.
ENA Global Microbial Identifier reporting standard checklist GMI_MDM:1.1	286	host health state	Health status of the host at the time of sample collection.
ENA Influenza virus reporting standard checklist	286	host health state	Health status of the host at the time of sample collection.
ENA parasite sample checklist	286	host health state	Health status of the host at the time of sample collection.
ENA prokaryotic pathogen minimal sample checklist	286	host health state	Health status of the host at the time of sample collection.
ENA virus pathogen reporting standard checklist	286	host health state	Health status of the host at the time of sample collection.
GSC MIxS Food and Production	130	host height	the height of subject
GSC MIxS Symbiont	130	host height	the height of subject
GSC MIxS agriculture	130	host height	the height of subject
GSC MIxS host associated	130	host height	the height of subject
GSC MIxS human associated	130	host height	the height of subject
GSC MIxS human gut	130	host height	the height of subject
GSC MIxS human oral	130	host height	the height of subject
GSC MIxS human skin	130	host height	the height of subject
GSC MIxS human vaginal	130	host height	the height of subject
GSC MIxS plant associated	130	host height	the height of subject
GSC MIxS Symbiont	418	host infra-specific name	taxonomic information about the host below subspecies level
GSC MIxS Symbiont	419	host infra-specific rank	taxonomic rank information about the host below subspecies level, such as variety, form, rank etc.
GSC MIxS host associated	203	host last meal	content of last meal and time since feeding; can include multiple values
GSC MIxS human associated	203	host last meal	content of last meal and time since feeding; can include multiple values
GSC MIxS human gut	203	host last meal	content of last meal and time since feeding; can include multiple values
GSC MIxS human oral	203	host last meal	content of last meal and time since feeding; can include multiple values
GSC MIxS human skin	203	host last meal	content of last meal and time since feeding; can include multiple values
GSC MIxS human vaginal	203	host last meal	content of last meal and time since feeding; can include multiple values
GSC MIxS Food and Production	131	host length	the length of subject
GSC MIxS Symbiont	131	host length	the length of subject
GSC MIxS agriculture	131	host length	the length of subject
GSC MIxS host associated	131	host length	the length of subject
GSC MIxS plant associated	131	host length	the length of subject
HoloFood Checklist	131	host length	the length of subject
ENA Global Microbial Identifier reporting standard checklist GMI_MDM:1.1	231	host life stage	description of life stage of host
GSC MIxS Symbiont	231	host life stage	description of life stage of host
GSC MIxS agriculture	231	host life stage	description of life stage of host
GSC MIxS host associated	231	host life stage	description of life stage of host
GSC MIxS plant associated	231	host life stage	description of life stage of host
GSC MIxS Symbiont	1126	host number individual	Number of symbiotic host individuals pooled at the time of collection.
GSC MIxS human associated	233	host occupation	most frequent job performed by subject
GSC MIxS human gut	233	host occupation	most frequent job performed by subject
GSC MIxS human oral	233	host occupation	most frequent job performed by subject
GSC MIxS human skin	233	host occupation	most frequent job performed by subject
GSC MIxS human vaginal	233	host occupation	most frequent job performed by subject
GSC MIxS Symbiont	1024	host of the symbiont role	Role of the host in the life cycle of the symbiotic organism.
GSC MIxS Symbiont	1169	host of the symbiotic host common name	Common name of the host of the symbiotic host organism.
GSC MIxS Symbiont	1222	host of the symbiotic host disease status	List of diseases with which the host of the symbiotic host organism has been diagnosed; can include multiple diagnoses. The value of the field depends on host; for humans the terms should be chosen from the DO (Human Disease Ontology) at https://www.disease-ontology.org, non-human host diseases are free text.
	827	host of the symbiotic host environmental medium	Report the environmental material(s) immediately surrounding the symbiotic host organism at the time of sampling. This usually will be a tissue or substance type from the host, but may be another material if the symbiont is external to the host. We recommend using classes from the UBERON ontology, but subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483) may also be used. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. intestines, heart).MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. intestines, heart).
	1188	host of the symbiotic host family relationship	Familial relationship of the host of the symbiotic host organisms to other hosts of symbiotic host organism in the same study; can include multiple relationships.
GSC MIxS Symbiont	1191	host of the symbiotic host genotype	Observed genotype of the host of the symbiotic host organism.
	1053	host of the symbiotic host gravidity	Whether or not the host of the symbiotic host organism is gravid, and if yes date due or date post-conception, specifying which is used.
GSC MIxS Symbiont	1005	host of the symbiotic host infra-specific name	Taxonomic name information of the host of the symbiotic host organism below subspecies level.
GSC MIxS Symbiont	950	host of the symbiotic host infra-specific rank	Taxonomic rank information about the host of the symbiotic host organism below subspecies level, such as variety, form, rank etc.
GSC MIxS Symbiont	1123	host of the symbiotic host local environmental context	For a symbiotic host organism the local anatomical environment within its host may have causal influences. Report the anatomical entity(s) which are in the direct environment of the symbiotic host organism being sampled and which you believe have significant causal influences on your sample or specimen. For example, if the symbiotic host organism being sampled is an intestinal worm, its local environmental context will be the term for intestine from UBERON (http://uberon.github.io/).
GSC MIxS Hydrocarbon	821	host of the symbiotic host phenotype	Phenotype of the host of the symbiotic host organism. For phenotypic quality ontology (PATO) terms, see http://purl.bioontology.org/ontology/pato.
GSC MIxS Symbiont	821	host of the symbiotic host phenotype	Phenotype of the host of the symbiotic host organism. For phenotypic quality ontology (PATO) terms, see http://purl.bioontology.org/ontology/pato.
GSC MIxS Symbiont	997	host of the symbiotic host subject id	A unique identifier by which each host of the symbiotic host organism subject can be referred to, de-identified, e.g. #H14.
GSC MIxS Symbiont	1221	host of the symbiotic host taxon id	NCBI taxon id of the host of the symbiotic host organism.
GSC MIxS Symbiont	1098	host of the symbiotic host total mass	Total mass of the host of the symbiotic host organism at collection, the unit depends on the host.
GSC MIxS Food and Production	204	host phenotype	phenotype of host. For Phenotypic quality Ontology (PATO) (v 2013-10-28) terms, please see http://purl.bioontology.org/ontology/PATO
GSC MIxS Symbiont	204	host phenotype	phenotype of host. For Phenotypic quality Ontology (PATO) (v 2013-10-28) terms, please see http://purl.bioontology.org/ontology/PATO
GSC MIxS agriculture	204	host phenotype	phenotype of host. For Phenotypic quality Ontology (PATO) (v 2013-10-28) terms, please see http://purl.bioontology.org/ontology/PATO
GSC MIxS host associated	204	host phenotype	phenotype of host. For Phenotypic quality Ontology (PATO) (v 2013-10-28) terms, please see http://purl.bioontology.org/ontology/PATO
GSC MIxS human associated	204	host phenotype	phenotype of host. For Phenotypic quality Ontology (PATO) (v 2013-10-28) terms, please see http://purl.bioontology.org/ontology/PATO
GSC MIxS human gut	204	host phenotype	phenotype of host. For Phenotypic quality Ontology (PATO) (v 2013-10-28) terms, please see http://purl.bioontology.org/ontology/PATO
GSC MIxS human oral	204	host phenotype	phenotype of host. For Phenotypic quality Ontology (PATO) (v 2013-10-28) terms, please see http://purl.bioontology.org/ontology/PATO
GSC MIxS human skin	204	host phenotype	phenotype of host. For Phenotypic quality Ontology (PATO) (v 2013-10-28) terms, please see http://purl.bioontology.org/ontology/PATO
GSC MIxS human vaginal	204	host phenotype	phenotype of host. For Phenotypic quality Ontology (PATO) (v 2013-10-28) terms, please see http://purl.bioontology.org/ontology/PATO
GSC MIxS plant associated	204	host phenotype	phenotype of host. For Phenotypic quality Ontology (PATO) (v 2013-10-28) terms, please see http://purl.bioontology.org/ontology/PATO
GSC MIUVIGS	721	host prediction approach	Tool or approach used for host prediction
GSC MIxS Food and Production	721	host prediction approach	Tool or approach used for host prediction
GSC MIUVIGS	722	host prediction estimated accuracy	For each tool or approach used for host prediction, estimated false discovery rates should be included, either computed de novo or from the literature
GSC MIxS Food and Production	722	host prediction estimated accuracy	For each tool or approach used for host prediction, estimated false discovery rates should be included, either computed de novo or from the literature
GSC MIxS human associated	115	host pulse	resting pulse, measured as beats per minute
GSC MIxS human gut	115	host pulse	resting pulse, measured as beats per minute
GSC MIxS human oral	115	host pulse	resting pulse, measured as beats per minute
GSC MIxS human skin	115	host pulse	resting pulse, measured as beats per minute
GSC MIxS human vaginal	115	host pulse	resting pulse, measured as beats per minute
COMPARE-ECDC-EFSA pilot human-associated reporting standard	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
ENA Global Microbial Identifier reporting standard checklist GMI_MDM:1.1	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
ENA Influenza virus reporting standard checklist	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
ENA default sample checklist	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
ENA parasite sample checklist	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
ENA prokaryotic pathogen minimal sample checklist	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
ENA virus pathogen reporting standard checklist	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
GSC MIUVIGS	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
GSC MIxS Food and Production	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
GSC MIxS Hydrocarbon	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
GSC MIxS Symbiont	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
GSC MIxS agriculture	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
GSC MIxS air	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
GSC MIxS built environment	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
GSC MIxS host associated	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
GSC MIxS human associated	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
GSC MIxS human gut	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
GSC MIxS human oral	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
GSC MIxS human skin	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
GSC MIxS human vaginal	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
GSC MIxS microbial mat biolfilm	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
GSC MIxS miscellaneous natural or artificial environment	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
GSC MIxS plant associated	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
GSC MIxS sediment	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
GSC MIxS soil	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
GSC MIxS wastewater sludge	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
GSC MIxS water	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
HoloFood Checklist	341	host scientific name	Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.
ENA Global Microbial Identifier reporting standard checklist GMI_MDM:1.1	81	host sex	Gender or sex of the host.
ENA Influenza virus reporting standard checklist	81	host sex	Gender or sex of the host.
ENA parasite sample checklist	81	host sex	Gender or sex of the host.
ENA virus pathogen reporting standard checklist	81	host sex	Gender or sex of the host.
GSC MIxS Symbiont	81	host sex	Gender or sex of the host.
GSC MIxS host associated	81	host sex	Gender or sex of the host.
GSC MIxS human associated	81	host sex	Gender or sex of the host.
GSC MIxS human gut	81	host sex	Gender or sex of the host.
GSC MIxS human oral	81	host sex	Gender or sex of the host.
GSC MIxS human skin	81	host sex	Gender or sex of the host.
GSC MIxS human vaginal	81	host sex	Gender or sex of the host.
HoloFood Checklist	81	host sex	Gender or sex of the host.
GSC MIxS Symbiont	116	host shape	morphological shape of host
GSC MIxS host associated	116	host shape	morphological shape of host
GSC MIxS Symbiont	892	host specificity	Level of specificity of symbiont-host interaction: e.g. generalist (symbiont able to establish associations with distantly related hosts) or species-specific.
GSC MIxS Food and Production	786	host specificity or range	The range and diversity of host species that an organism is capable of infecting, defined by NCBI taxonomy identifier.
GSC MIxS Symbiont	786	host specificity or range	The range and diversity of host species that an organism is capable of infecting, defined by NCBI taxonomy identifier.
GSC MIxS agriculture	786	host specificity or range	The range and diversity of host species that an organism is capable of infecting, defined by NCBI taxonomy identifier.
GSC MIxS built environment	786	host specificity or range	The range and diversity of host species that an organism is capable of infecting, defined by NCBI taxonomy identifier.
GSC MIxS soil	786	host specificity or range	The range and diversity of host species that an organism is capable of infecting, defined by NCBI taxonomy identifier.
HoloFood Checklist	743	host storage container	storage container that the host organism is kept in before sampling (e.g. cage, water tank, pen) including details of size and type
HoloFood Checklist	744	host storage container pH	pH of the medium in which the host organism is kept before sampling (e.g. pH of water in tank)
HoloFood Checklist	745	host storage container temperature	temperature at which the host is kept before sampling
ENA Global Microbial Identifier reporting standard checklist GMI_MDM:1.1	234	host subject id	a unique identifier by which each subject can be referred to, de-identified, e.g. #131
ENA Influenza virus reporting standard checklist	234	host subject id	a unique identifier by which each subject can be referred to, de-identified, e.g. #131
ENA parasite sample checklist	234	host subject id	a unique identifier by which each subject can be referred to, de-identified, e.g. #131
ENA virus pathogen reporting standard checklist	234	host subject id	a unique identifier by which each subject can be referred to, de-identified, e.g. #131
GSC MIxS Symbiont	234	host subject id	a unique identifier by which each subject can be referred to, de-identified, e.g. #131
GSC MIxS host associated	234	host subject id	a unique identifier by which each subject can be referred to, de-identified, e.g. #131
GSC MIxS human associated	234	host subject id	a unique identifier by which each subject can be referred to, de-identified, e.g. #131
GSC MIxS human gut	234	host subject id	a unique identifier by which each subject can be referred to, de-identified, e.g. #131
GSC MIxS human oral	234	host subject id	a unique identifier by which each subject can be referred to, de-identified, e.g. #131
GSC MIxS human skin	234	host subject id	a unique identifier by which each subject can be referred to, de-identified, e.g. #131
GSC MIxS human vaginal	234	host subject id	a unique identifier by which each subject can be referred to, de-identified, e.g. #131
HoloFood Checklist	234	host subject id	a unique identifier by which each subject can be referred to, de-identified, e.g. #131
GSC MIxS Food and Production	775	host subspecific genetic lineage	Information about the genetic distinctness of the host organism below the subspecies level e.g., serovar, serotype, biotype, ecotype, variety, cultivar, or any relevant genetic typing schemes like Group I plasmid. Subspecies should not be recorded in this term, but in the NCBI taxonomy. Supply both the lineage name and the lineage rank separated by a colon, e.g., biovar:abc123.
GSC MIxS agriculture	775	host subspecific genetic lineage	Information about the genetic distinctness of the host organism below the subspecies level e.g., serovar, serotype, biotype, ecotype, variety, cultivar, or any relevant genetic typing schemes like Group I plasmid. Subspecies should not be recorded in this term, but in the NCBI taxonomy. Supply both the lineage name and the lineage rank separated by a colon, e.g., biovar:abc123.
GSC MIxS host associated	775	host subspecific genetic lineage	Information about the genetic distinctness of the host organism below the subspecies level e.g., serovar, serotype, biotype, ecotype, variety, cultivar, or any relevant genetic typing schemes like Group I plasmid. Subspecies should not be recorded in this term, but in the NCBI taxonomy. Supply both the lineage name and the lineage rank separated by a colon, e.g., biovar:abc123.
GSC MIxS plant associated	775	host subspecific genetic lineage	Information about the genetic distinctness of the host organism below the subspecies level e.g., serovar, serotype, biotype, ecotype, variety, cultivar, or any relevant genetic typing schemes like Group I plasmid. Subspecies should not be recorded in this term, but in the NCBI taxonomy. Supply both the lineage name and the lineage rank separated by a colon, e.g., biovar:abc123.
GSC MIxS Symbiont	205	host substrate	the growth substrate of the host
GSC MIxS host associated	205	host substrate	the growth substrate of the host
ENA Global Microbial Identifier reporting standard checklist GMI_MDM:1.1	117	host taxid	NCBI taxon id of the host, e.g. 9606
GSC MIxS Food and Production	117	host taxid	NCBI taxon id of the host, e.g. 9606
GSC MIxS Symbiont	117	host taxid	NCBI taxon id of the host, e.g. 9606
GSC MIxS agriculture	117	host taxid	NCBI taxon id of the host, e.g. 9606
GSC MIxS host associated	117	host taxid	NCBI taxon id of the host, e.g. 9606
GSC MIxS plant associated	117	host taxid	NCBI taxon id of the host, e.g. 9606
HoloFood Checklist	117	host taxid	NCBI taxon id of the host, e.g. 9606
GSC MIxS Food and Production	236	host total mass	total mass of the host at collection, the unit depends on host
GSC MIxS Symbiont	236	host total mass	total mass of the host at collection, the unit depends on host
GSC MIxS agriculture	236	host total mass	total mass of the host at collection, the unit depends on host
GSC MIxS host associated	236	host total mass	total mass of the host at collection, the unit depends on host
GSC MIxS human associated	236	host total mass	total mass of the host at collection, the unit depends on host
GSC MIxS human gut	236	host total mass	total mass of the host at collection, the unit depends on host
GSC MIxS human oral	236	host total mass	total mass of the host at collection, the unit depends on host
GSC MIxS human skin	236	host total mass	total mass of the host at collection, the unit depends on host
GSC MIxS human vaginal	236	host total mass	total mass of the host at collection, the unit depends on host
GSC MIxS plant associated	236	host total mass	total mass of the host at collection, the unit depends on host
HoloFood Checklist	236	host total mass	total mass of the host at collection, the unit depends on host
GSC MIxS plant associated	178	host wet mass	measurement of wet mass
	368	host-associated environmental package	MIGS/MIMS/MIMARKS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. All environmental packages listed here are further defined in separate subtables. By giving the name of the environmental package, a selection of fields can be made from the subtables and can be reported
	366	human gut environmental package	MIGS/MIMS/MIMARKS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. All environmental packages listed here are further defined in separate subtables. By giving the name of the environmental package, a selection of fields can be made from the subtables and can be reported
	370	human oral environmental package	MIGS/MIMS/MIMARKS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. All environmental packages listed here are further defined in separate subtables. By giving the name of the environmental package, a selection of fields can be made from the subtables and can be reported
	356	human skin environmental package	MIGS/MIMS/MIMARKS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. All environmental packages listed here are further defined in separate subtables. By giving the name of the environmental package, a selection of fields can be made from the subtables and can be reported
	359	human vaginal environmental package	MIGS/MIMS/MIMARKS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. All environmental packages listed here are further defined in separate subtables. By giving the name of the environmental package, a selection of fields can be made from the subtables and can be reported
	365	human-associated environmental package	MIGS/MIMS/MIMARKS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. All environmental packages listed here are further defined in separate subtables. By giving the name of the environmental package, a selection of fields can be made from the subtables and can be reported
GSC MIxS Food and Production	82	humidity	amount of water vapour in the air, at the time of sampling
GSC MIxS agriculture	82	humidity	amount of water vapour in the air, at the time of sampling
GSC MIxS air	82	humidity	amount of water vapour in the air, at the time of sampling
ENA Plant Sample Checklist	257	humidity regimen	information about treatment involving an exposure to varying degree of humidity; information about treatment involving use of growth hormones; should include amount of humidity administered, treatment duration, interval and total experimental duration; can include multiple regimens
GSC MIxS plant associated	257	humidity regimen	information about treatment involving an exposure to varying degree of humidity; information about treatment involving use of growth hormones; should include amount of humidity administered, treatment duration, interval and total experimental duration; can include multiple regimens
GSC MIxS Hydrocarbon	972	hydrocarbon resource geological age	Geological age of hydrocarbon resource (Additional info: https://en.wikipedia.org/wiki/Period_(geology)). If "other" is specified, please propose entry in "additional info" field
GSC MIxS Hydrocarbon	901	hydrocarbon resource original pressure	Original pressure of the hydrocarbon resource
GSC MIxS Hydrocarbon	1116	hydrocarbon resource original temperature	Original temperature of the hydrocarbon resource
GSC MIxS Hydrocarbon	1004	hydrocarbon resource type	Main Hydrocarbon Resource type. The term "Hydrocarbon Resource" HCR defined as a natural environmental feature containing large amounts of hydrocarbons at high concentrations potentially suitable for commercial exploitation. This term should not be confused with the Hydrocarbon Occurrence term which also includes hydrocarbon-rich environments with currently limited commercial interest such as seeps, outcrops, gas hydrates etc. If "other" is specified, please propose entry in "additional info" field
GSC MIxS Hydrocarbon	1050	hydrocarbon type produced	Main hydrocarbon type produced from resource (i.e. Oil, gas, condensate, etc). If "other" is specified, please propose entry in "additional info" field
GSC MIxS Food and Production	879	hygienic food production area	The subdivision of areas within a food production facility according to hygienic requirements. This field accepts terms listed under hygienic food production area (http://purl.obolibrary.org/obo/ENVO). Please add a term that most accurately indicates the hygienic area your sample was taken from according to the definitions provided.
GSC MIxS human vaginal	155	hysterectomy	specification of whether hysterectomy was performed
ENA Global Microbial Identifier reporting standard checklist GMI_MDM:1.1	179	identified_by	name of the expert who identified the specimen taxonomically
ENA Plant Sample Checklist	179	identified_by	name of the expert who identified the specimen taxonomically
ENA default sample checklist	179	identified_by	name of the expert who identified the specimen taxonomically
ENA prokaryotic pathogen minimal sample checklist	179	identified_by	name of the expert who identified the specimen taxonomically
Tree of Life Checklist	179	identified_by	name of the expert who identified the specimen taxonomically
Tree of Life Checklist	757	identifier_affiliation	the university, institution, or society responsible for identifying the specimen.
ENA Influenza virus reporting standard checklist	258	illness duration	The number of days the illness lasted. Example: 4
ENA virus pathogen reporting standard checklist	258	illness duration	The number of days the illness lasted. Example: 4
ENA Influenza virus reporting standard checklist	307	illness onset date	Date the subject showed an onset of symptoms. Format: YYYY-MM-DD. Example: 2011-10-20
ENA Influenza virus reporting standard checklist	259	illness symptoms	The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. If multiple exposures are applicable, please state them separated by semicolon.
ENA virus pathogen reporting standard checklist	259	illness symptoms	The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. If multiple exposures are applicable, please state them separated by semicolon.
ENA Crop Plant sample enhanced annotation checklist	601	immunoprecipitate	The precipitate antibody bound target molecules generated when precipitating an antigen out of a solution during the process of immunoprecipitation.
ENA Crop Plant sample enhanced annotation checklist	588	individual	An individual used a specimen in an experiment, from which a material sample was derived.
GSC MIxS built environment	156	indoor space	a distinguishable space within a structure, the purpose for which discrete areas of a building is used
GSC MIxS Food and Production	206	indoor surface	type of indoor surface
GSC MIxS built environment	206	indoor surface	type of indoor surface
GSC MIxS wastewater sludge	453	industrial effluent percent	percentage of industrial effluents received by wastewater treatment plant
ENA Crop Plant sample enhanced annotation checklist	578	infect	The name of the disease causing/contaminating organism; the value can also be ‘control’.
ENA Influenza virus reporting standard checklist	489	influenza strain unique number	Unique number of the strain which is reported as a part of the influenza strain name, such as A/chicken/Fujian/411/2002(HxN1). Format: integer number, Example: 411
ENA Influenza virus reporting standard checklist	373	influenza test method	Method by which the current assessment of a sample as flu positive/negative is made. If multiple test were performed, please state them separated by semicolon. Example: RT-PCR; antigen ELISA
ENA Influenza virus reporting standard checklist	374	influenza test result	Classification of a sample as flu positive or negative based on the test performed and reported. If multiple tests were performed, please state the results in the same order in which you reported the tests in the field 'influenza test method'. Format: P(ositive)/N(egative). Example: P; P
ENA Influenza virus reporting standard checklist	441	influenza vaccination date	Date that the influenza vaccination was administered to the subject over the past year. Format: YYYY-MM-DD. Example: 2007-05-12
ENA Influenza virus reporting standard checklist	442	influenza vaccination type	Influenza vaccinations that have been administered to the subject over the last year. Example: 2009 H1N1 Flumist
ENA Influenza virus reporting standard checklist	342	influenza virus type	One of the three influenza virus classification types.
ENA Influenza virus reporting standard checklist	544	influenza-like illness at the time of sample collection	Is the subject at the time of sample collection considered to have influenza like illness?
ENA Crop Plant sample enhanced annotation checklist	590	initial time point	The first time point measured at the start of some process.
GSC MIxS Hydrocarbon	941	injection water breakthrough date of specific well	Injection water breakthrough date per well following a secondary and/or tertiary recovery
GSC MIxS Hydrocarbon	938	injection water fraction	Proportion of the produced fluids derived from injected water at the time of sampling. (e.g. 87%)
ENA Influenza virus reporting standard checklist	260	inoculation dose	Dose used for the inoculoation experiment.
ENA Influenza virus reporting standard checklist	288	inoculation route	Brief description of the protocol inoculation route.
ENA Influenza virus reporting standard checklist	490	inoculation stock availability	Is the virus stock used for the inoculation available?
GSC MIxS wastewater sludge	322	inorganic particles	concentration of particles such as sand, grit, metal particles, ceramics, etc.; can include multiple particles
GSC MIxS built environment	875	inside lux light	The recorded value at sampling time (power density)
	1247	instantaneous flow rate measurement method	The process used to measure instantaneous fluid flow rate.
	1248	instantaneous flow rate measurement value	The numerical value of a measured instantaneous fluid flow rate.
ENA Global Microbial Identifier Proficiency Test (GMI PT) checklist	670	instrument for DNA concentration measurement	Name/type of instrument used to measure the DNA concentration (ng/µl) prior to library preparation
GSC MIxS Food and Production	1105	intended consumer	Food consumer type, human or animal, for which the food product is produced and marketed. This field accepts terms listed under food consumer group (http://purl.obolibrary.org/obo/FOODON_03510136) or NCBI taxid.
GSC MIxS Food and Production	993	interagency food safety analytics collaboration (ifsac) category	The IFSAC food categorization scheme has five distinct levels to which foods can be assigned, depending upon the type of food. First, foods are assigned to one of four food groups (aquatic animals, land animals, plants, and other). Food groups include increasingly specific food categories; dairy, eggs, meat and poultry, and game are in the land animal food group, and the category meat and poultry is further subdivided into more specific categories of meat (beef, pork, other meat) and poultry (chicken, turkey, other poultry). Finally, foods are differentiated by differences in food processing (such as pasteurized fluid dairy products, unpasteurized fluid dairy products, pasteurized solid and semi-solid dairy products, and unpasteurized solid and semi-solid dairy products. An IFSAC food category chart is available from https://www.cdc.gov/foodsafety/ifsac/projects/food-categorization-scheme.html PMID: 28926300.
GSC MIxS built environment	970	interior wall condition	The physical condition of the wall at the time of sampling; photos or video preferred; use drawings to indicate location of damaged areas
ENA binned metagenome	308	investigation type	Nucleic Acid Sequence Report is the root element of all MIxS compliant reports as standardised by Genomic Standards Consortium
ENA sewage checklist	308	investigation type	Nucleic Acid Sequence Report is the root element of all MIxS compliant reports as standardised by Genomic Standards Consortium
COMPARE-ECDC-EFSA pilot food-associated reporting standard	58	isolate	individual isolate from which the sample was obtained
COMPARE-ECDC-EFSA pilot human-associated reporting standard	58	isolate	individual isolate from which the sample was obtained
